Date,Coin,Price_USD,Volume_24h,Market_Cap,Sentiment_Score,Social_Mentions,Volatility_Index
2024-01-01,Bitcoin,45000.0,48310321778.54,8253189258432.04,-0.3,21810,0.0218
2024-01-02,Bitcoin,45715.5641,212906306922.06,21588630487583.2,-0.39,2551,0.0869
2024-01-03,Bitcoin,45571.6548,67036101540.92,6678369199301.58,0.32,13625,0.0249
2024-01-04,Bitcoin,46502.7136,153741035664.17,19855723214802.21,0.43,35397,0.0869
2024-01-05,Bitcoin,48673.9669,102031385886.12,12277974928121.45,0.18,27249,0.0542
2024-01-06,Bitcoin,48380.7257,155626861318.3,21828886464108.4,-0.44,2361,0.0466
2024-01-07,Bitcoin,48089.2749,173394611492.83,21506614218322.61,0.0,27149,0.0913
2024-01-08,Bitcoin,50415.6602,217743583393.9,21294070455440.08,0.15,5370,0.0643
2024-01-09,Bitcoin,51626.7977,94254274628.47,21477376369317.1,0.5,6283,0.0619
2024-01-10,Bitcoin,50951.3007,53192307800.33,11304649445541.2,0.22,8610,0.0603
2024-01-11,Bitcoin,51831.5762,80211568076.19,6860827215389.07,0.06,44326,0.0434
2024-01-12,Bitcoin,51162.8177,235352776503.81,13363322339485.36,-0.28,15924,0.0807
2024-01-13,Bitcoin,50499.1391,227021925550.28,8555049361990.49,0.72,48607,0.0328
2024-01-14,Bitcoin,50916.2049,172588236431.56,19245329288640.4,0.13,45717,0.0945
2024-01-15,Bitcoin,48044.612,163451010217.2,11455752028609.6,0.11,11626,0.0905
2024-01-16,Bitcoin,45606.4664,166926357288.74,22358300161784.67,-0.57,35761,0.0404
2024-01-17,Bitcoin,44882.7544,76367338533.84,15995712375085.79,0.05,1869,0.0757
2024-01-18,Bitcoin,43563.8777,202905198213.12,18688564824975.93,-0.61,32552,0.0616
2024-01-19,Bitcoin,44018.1365,117752129018.28,6735209304363.62,0.21,2014,0.0404
2024-01-20,Bitcoin,42863.0688,108553041208.9,19065741308268.84,0.62,11103,0.099
2024-01-21,Bitcoin,41089.8618,126378888848.12,19275372332752.22,-0.21,17986,0.0123
2024-01-22,Bitcoin,42937.6508,51004083896.15,12659082908504.89,-0.22,45781,0.0327
2024-01-23,Bitcoin,42689.7593,71084147266.88,14621292728236.76,-0.49,31471,0.0568
2024-01-24,Bitcoin,42818.932,169226176755.73,17381228723997.82,0.02,34458,0.057
2024-01-25,Bitcoin,41031.565,54621000720.54,6972717502260.43,-0.5,26069,0.063
2024-01-26,Bitcoin,40402.4903,137877879397.81,12162217449642.0,-0.55,17873,0.0777
2024-01-27,Bitcoin,40577.3393,80399795546.72,10528407903097.12,0.5,24248,0.0661
2024-01-28,Bitcoin,39216.7889,100284484599.17,6217806072715.73,-0.07,24624,0.064
2024-01-29,Bitcoin,39698.0158,85540289894.21,9805956501209.0,-0.06,44516,0.0148
2024-01-30,Bitcoin,39022.3889,94539185126.59,4966337436282.59,0.59,30061,0.0439
2024-01-31,Bitcoin,38719.9337,150085572688.23,4271767497007.94,-0.39,25170,0.0309
2024-02-01,Bitcoin,38059.7124,83293180578.48,5863727276621.83,0.66,9024,0.0339
2024-02-02,Bitcoin,40212.6874,131319298245.95,19513047486784.47,0.19,17678,0.0599
2024-02-03,Bitcoin,40236.6173,116855248577.34,12868145569364.37,0.66,39256,0.028
2024-02-04,Bitcoin,39000.0926,142533040154.94,18966870739335.85,0.13,21411,0.0365
2024-02-05,Bitcoin,40001.4725,189899748749.64,10920368046286.96,0.7,44803,0.0313
2024-02-06,Bitcoin,38576.4077,151616407140.6,8669139273734.52,0.6,20296,0.0954
2024-02-07,Bitcoin,38856.7003,72264195776.84,11752471096826.18,-0.09,27293,0.095
2024-02-08,Bitcoin,36611.1676,41177771481.38,10097531184464.28,0.46,28172,0.0649
2024-02-09,Bitcoin,35188.9855,72104208025.46,5006191761198.07,-0.19,22128,0.0932
2024-02-10,Bitcoin,35431.9949,119771187587.82,12625501361338.11,0.04,19257,0.0807
2024-02-11,Bitcoin,36252.3872,43709621182.25,6757998652634.42,0.06,13855,0.0631
2024-02-12,Bitcoin,36475.0148,108894879778.5,12687293424712.14,0.23,20642,0.0106
2024-02-13,Bitcoin,36384.9417,123249310655.71,13101505696304.28,-0.31,36585,0.0795
2024-02-14,Bitcoin,36092.6574,84347658363.04,5804058116504.72,0.18,21025,0.0732
2024-02-15,Bitcoin,34527.8364,140999558321.67,4300091598978.49,-0.01,5458,0.0654
2024-02-16,Bitcoin,33816.7244,48235939353.96,13942792180570.2,0.39,6307,0.0784
2024-02-17,Bitcoin,33383.2223,43416587341.39,9478170124990.34,0.52,42701,0.0562
2024-02-18,Bitcoin,34475.3099,134893441954.59,4249616937211.34,0.24,19425,0.0734
2024-02-19,Bitcoin,34865.1756,103966742584.03,17360993097458.96,-0.05,44427,0.0942
2024-02-20,Bitcoin,33055.9796,124079242023.44,4069595182552.26,-0.42,29273,0.0438
2024-02-21,Bitcoin,33410.423,91521484279.47,12629610701270.29,-0.19,39506,0.0737
2024-02-22,Bitcoin,33057.8606,65639956814.05,16313114361819.64,-0.48,6668,0.0528
2024-02-23,Bitcoin,32419.5906,138639437971.48,6343607491457.28,-0.15,26934,0.0707
2024-02-24,Bitcoin,33046.9191,138719846529.24,5185053258288.72,-0.05,48195,0.0787
2024-02-25,Bitcoin,34102.1067,128864559512.17,5066003537076.96,0.92,8697,0.0141
2024-02-26,Bitcoin,35088.9673,73286134498.63,7765541415266.06,0.37,25417,0.0682
2024-02-27,Bitcoin,34240.6379,115080136202.41,4808013006109.82,-0.17,17446,0.0304
